provided,standard
Walk,Walk-in
Ambulance,Emergency Ambulance
Private Transport,Other 
Other,Other 
Public Transport,Other 
3 Emergency Ambulance,Emergency Ambulance
1 Own Transport / Walk-In,Other 
2 Public Transport / Taxi,Other 
9 Police Transport,Other 
8 Custodial Services (Prison/Deten Cent,Other 
NA,NA
Police Vehicle,Other 
8 Custodial Services (Prison/Deten Cent),Other 
4 Emergency Ambulance w/ Med Escort,Emergency Ambulance
5 Non-Emergency Ambulance,Other 
Air Ambulance,Emergency Ambulance
Unknown,Unkown
7 Fixed Wing / Repatriation by Air,Other 
6 Helicopter,Other 
